date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,scheduled_vol_mw,MCP,scrape_timestamp
22-02-2026,01:45-02:00,7380.6,10944.8,4876.93,4876.93,3568.54,2026-02-25 11:04:05
22-02-2026,02:00-02:15,7380.5,10631.7,5246.8,5246.8,3588.12,2026-02-25 11:04:05
22-02-2026,02:15-02:30,7378.7,10252.0,5056.21,5056.21,3710.41,2026-02-25 11:04:05
22-02-2026,02:30-02:45,7253.5,10128.6,5044.82,5044.82,3710.57,2026-02-25 11:04:05
22-02-2026,02:45-03:00,7378.0,9735.9,5107.68,5107.68,3739.68,2026-02-25 11:04:05
22-02-2026,03:00-03:15,7366.0,9639.2,5105.3,5105.3,3750.1,2026-02-25 11:04:05
22-02-2026,03:15-03:30,7552.9,9609.5,5247.2,5247.2,3779.02,2026-02-25 11:04:05
22-02-2026,03:30-03:45,7114.8,9147.4,5183.72,5183.72,3788.21,2026-02-25 11:04:05
22-02-2026,03:45-04:00,6908.2,8924.6,4956.1,4956.1,3812.12,2026-02-25 11:04:05
22-02-2026,04:00-04:15,7010.7,8705.9,4727.43,4727.43,3861.69,2026-02-25 11:04:05
22-02-2026,04:15-04:30,7372.5,8175.5,4634.71,4634.71,4230.12,2026-02-25 11:04:05
22-02-2026,04:30-04:45,7440.1,7719.5,4392.1,4392.1,4233.56,2026-02-25 11:04:05
22-02-2026,04:45-05:00,8471.1,7273.1,4914.4,4914.4,4500.61,2026-02-25 11:04:05
22-02-2026,05:00-05:15,8947.7,7685.3,6432.55,6432.55,4999.55,2026-02-25 11:04:05
22-02-2026,05:15-05:30,9524.6,6838.4,5813.0,5813.0,5000.6,2026-02-25 11:04:05
22-02-2026,05:30-05:45,8543.0,5614.3,5376.54,5376.54,6000.57,2026-02-25 11:04:05
22-02-2026,05:45-06:00,8844.0,5321.4,5272.4,5272.4,7734.78,2026-02-25 11:04:05
22-02-2026,06:00-06:15,7908.8,5793.4,5283.89,5283.89,5500.98,2026-02-25 11:04:05
22-02-2026,06:15-06:30,7740.2,6231.6,5280.03,5280.03,5000.88,2026-02-25 11:04:05
22-02-2026,06:30-06:45,7868.5,8235.3,6254.56,6254.56,3740.46,2026-02-25 11:04:05
22-02-2026,06:45-07:00,8518.9,7371.2,6298.0,6298.0,4628.81,2026-02-25 11:04:05
22-02-2026,07:00-07:15,8888.5,6744.6,6363.16,6363.16,5499.98,2026-02-25 11:04:05
22-02-2026,07:15-07:30,9524.1,6296.3,6143.57,6143.57,7581.63,2026-02-25 11:04:05
22-02-2026,07:30-07:45,8865.5,5702.7,5685.77,5685.77,8544.23,2026-02-25 11:04:05
22-02-2026,07:45-08:00,8893.0,5370.1,5370.1,5370.1,10000.0,2026-02-25 11:04:05
22-02-2026,08:00-08:15,8489.4,7929.0,6693.83,6693.83,4400.88,2026-02-25 11:04:05
22-02-2026,08:15-08:30,7058.0,9328.1,6473.9,6473.9,3250.07,2026-02-25 11:04:05
22-02-2026,08:30-08:45,7784.4,10580.2,6480.8,6480.8,3716.36,2026-02-25 11:04:05
22-02-2026,08:45-09:00,7230.7,11797.1,6513.0,6513.0,3499.26,2026-02-25 11:04:05
22-02-2026,09:00-09:15,7240.6,11856.0,6535.2,6535.2,3220.43,2026-02-25 11:04:05
22-02-2026,09:15-09:30,7410.1,13492.0,6816.57,6816.57,3150.68,2026-02-25 11:04:05
22-02-2026,09:30-09:45,9193.1,16136.9,8340.6,8340.6,3271.36,2026-02-25 11:04:05
22-02-2026,09:45-10:00,9434.1,18644.0,9130.01,9130.01,3000.23,2026-02-25 11:04:05
22-02-2026,10:00-10:15,10573.3,20583.0,10107.6,10107.6,2789.16,2026-02-25 11:04:05
22-02-2026,10:15-10:30,10087.0,20976.7,9654.51,9654.51,2706.89,2026-02-25 11:04:05
22-02-2026,10:30-10:45,11402.1,23018.9,10406.89,10406.89,2830.17,2026-02-25 11:04:05
22-02-2026,10:45-11:00,10876.2,24180.2,10580.33,10580.33,2479.38,2026-02-25 11:04:05
22-02-2026,11:00-11:15,10928.5,24874.4,10509.5,10509.5,2399.35,2026-02-25 11:04:05
22-02-2026,11:15-11:30,10921.0,25494.1,10582.82,10582.82,2370.3,2026-02-25 11:04:05
22-02-2026,11:30-11:45,11008.1,25554.4,10478.64,10478.64,2400.82,2026-02-25 11:04:05
22-02-2026,11:45-12:00,10997.8,26627.0,10478.3,10478.3,2208.74,2026-02-25 11:04:05
22-02-2026,12:00-12:15,10884.2,28232.0,10620.0,10620.0,2095.89,2026-02-25 11:04:05
22-02-2026,12:15-12:30,10992.8,29040.4,10740.4,10740.4,2084.36,2026-02-25 11:04:05
22-02-2026,12:30-12:45,11160.0,29323.9,11008.0,11008.0,2084.32,2026-02-25 11:04:05
22-02-2026,12:45-13:00,10921.0,30552.2,10816.9,10816.9,1902.4,2026-02-25 11:04:05
22-02-2026,13:00-13:15,9669.1,30785.8,9590.2,9590.2,1703.81,2026-02-25 11:04:05
22-02-2026,13:15-13:30,9368.1,31359.1,9289.2,9289.2,1699.46,2026-02-25 11:04:05
22-02-2026,13:30-13:45,9133.8,31365.6,9053.6,9053.6,1647.58,2026-02-25 11:04:05
22-02-2026,13:45-14:00,9240.9,31577.2,9154.3,9154.3,1647.31,2026-02-25 11:04:05
22-02-2026,14:00-14:15,9856.0,31499.5,9716.7,9716.7,1614.0,2026-02-25 11:04:05
22-02-2026,14:15-14:30,8211.7,29035.2,8068.2,8068.2,1647.6,2026-02-25 11:04:05
22-02-2026,14:30-14:45,9289.2,28781.1,9211.8,9211.8,1769.33,2026-02-25 11:04:05
22-02-2026,14:45-15:00,10232.5,28379.8,10132.9,10132.9,1945.03,2026-02-25 11:04:05
22-02-2026,15:00-15:15,10261.4,28393.1,10168.98,10168.98,1880.83,2026-02-25 11:04:05
22-02-2026,15:15-15:30,10099.6,26912.8,10003.4,10003.4,1882.66,2026-02-25 11:04:05
22-02-2026,15:30-15:45,8257.4,23896.9,8184.9,8184.9,1431.89,2026-02-25 11:04:05
22-02-2026,15:45-16:00,8463.0,22833.0,8381.3,8381.3,1795.01,2026-02-25 11:04:05
22-02-2026,16:00-16:15,7576.2,20360.1,7501.2,7501.2,1399.97,2026-02-25 11:04:05
22-02-2026,16:15-16:30,7816.2,19186.7,7489.02,7489.02,2000.3,2026-02-25 11:04:05
22-02-2026,16:30-16:45,7903.4,17684.1,7560.5,7560.5,2287.21,2026-02-25 11:04:05
22-02-2026,16:45-17:00,7843.6,15708.8,7154.45,7154.45,2839.46,2026-02-25 11:04:05
22-02-2026,17:00-17:15,5792.1,14201.3,5735.2,5735.2,1984.46,2026-02-25 11:04:05
22-02-2026,17:15-17:30,5832.4,12004.3,5120.3,5120.3,2981.08,2026-02-25 11:04:05
22-02-2026,17:30-17:45,5721.7,9383.7,5137.5,5137.5,3061.0,2026-02-25 11:04:05
22-02-2026,17:45-18:00,6164.9,8898.2,4877.56,4877.56,3250.97,2026-02-25 11:04:05
22-02-2026,18:00-18:15,5555.0,9938.1,5523.7,5523.7,1999.84,2026-02-25 11:04:05
22-02-2026,18:15-18:30,5578.6,10621.2,5547.0,5547.0,1868.8,2026-02-25 11:04:05
22-02-2026,18:30-18:45,7206.4,9219.9,6061.1,6061.1,3329.88,2026-02-25 11:04:05
22-02-2026,18:45-19:00,7916.2,8462.9,5644.8,5644.8,3731.23,2026-02-25 11:04:05
22-02-2026,19:00-19:15,7234.3,8548.9,5675.15,5675.15,3627.6,2026-02-25 11:04:05
22-02-2026,19:15-19:30,6668.4,9049.0,5505.77,5505.77,3210.18,2026-02-25 11:04:05
22-02-2026,19:30-19:45,6227.6,9239.4,5527.88,5527.88,3050.51,2026-02-25 11:04:05
22-02-2026,19:45-20:00,6354.9,10184.3,5488.08,5488.08,3210.34,2026-02-25 11:04:05
22-02-2026,20:00-20:15,7375.0,9708.6,5870.61,5870.61,3710.37,2026-02-25 11:04:05
22-02-2026,20:15-20:30,7868.6,9764.2,6308.6,6308.6,3828.51,2026-02-25 11:04:05
22-02-2026,20:30-20:45,7767.7,9948.8,6343.7,6343.7,3828.47,2026-02-25 11:04:05
22-02-2026,20:45-21:00,8448.4,10587.5,7024.4,7024.4,3828.53,2026-02-25 11:04:05
22-02-2026,21:00-21:15,7800.8,12233.9,6694.3,6694.3,3499.48,2026-02-25 11:04:05
22-02-2026,21:15-21:30,8078.8,13367.1,7173.2,7173.2,3226.16,2026-02-25 11:04:05
22-02-2026,21:30-21:45,8660.9,13823.0,7621.2,7621.2,3346.92,2026-02-25 11:04:05
22-02-2026,21:45-22:00,8829.2,14709.2,7869.5,7869.5,3346.63,2026-02-25 11:04:05
22-02-2026,22:00-22:15,9503.7,14647.6,8187.08,8187.08,3390.35,2026-02-25 11:04:05
22-02-2026,22:15-22:30,9654.1,14642.1,8218.8,8218.8,3386.71,2026-02-25 11:04:05
22-02-2026,22:30-22:45,10097.9,14587.7,8450.04,8450.04,3419.99,2026-02-25 11:04:05
22-02-2026,22:45-23:00,9631.0,15103.7,8290.25,8290.25,3226.12,2026-02-25 11:04:05
22-02-2026,23:00-23:15,9827.4,15685.9,8284.62,8284.62,3216.58,2026-02-25 11:04:05
22-02-2026,23:15-23:30,9803.2,16386.1,8241.02,8241.02,3186.17,2026-02-25 11:04:05
22-02-2026,23:30-23:45,9755.3,15788.8,7762.72,7762.72,3220.38,2026-02-25 11:04:05
22-02-2026,23:45-24:00,9705.6,15192.1,7616.86,7616.86,3261.42,2026-02-25 11:04:05
25-02-2026,00:00-00:15,1.0,1.0,,6221.4,3325.89,2026-02-25 11:04:05
25-02-2026,00:15-00:30,6359.1,9375.4,4142.01,4142.01,3510.27,2026-02-25 11:04:05
25-02-2026,00:30-00:45,,6610.9,8890.9,4362.65,3600.97,2026-02-25 11:04:05
25-02-2026,00:45-01:00,6378.6,8463.1,3917.0,3917.0,3588.11,2026-02-25 11:04:05
25-02-2026,01:00-01:15,3.0,,5728.9,8687.6,3568.7,2026-02-25 11:04:05
25-02-2026,01:15-01:30,5856.1,8612.0,3482.6,3482.6,3561.76,2026-02-25 11:04:05
25-02-2026,01:30-01:45,,5504.8,9037.4,3667.6,3561.47,2026-02-25 11:04:05
